x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5 C6,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C6,0.5227574648529237
0.37634316,0.003478353,11.0,rise,C2,0.6997012030988528
0.73111004,-0.033749204,18.0,dead,C2,0.5890078107202821
3.9828346,0.020948611,238.0,need,C5,0.6344283653586688
0.37662598,-0.0074088247,13.0,upgrade,C2,0.701991671953993
0.4271167,-0.040221818,12.0,station,C2,0.6970785164540373
3.193548,-0.30603263,200.0,know,C5,0.6105613432868763
3.1021552,-0.18599184,135.0,awesome,C5,0.5094698785755131
0.26043293,0.013959806,13.0,likely,C2,0.7000147934986367
4.019419,-0.15933505,143.0,design,C5,0.6337381901915331
2.7026744,-0.10404712,79.0,also,C4,0.6641153385364863
2.097018,-0.11153362,71.0,giving,C4,0.6607325191389695
4.5649724,-0.3645213,388.0,free,C5,0.6166559623596994
1.9270232,-0.10096901,77.0,wait,C4,0.637820619151691
1.1210569,-0.08354992,47.0,sale,C6,0.6589222092677913
1.6456244,-0.028374815,55.0,hope,C6,0.5409775902109762
3.8084848,-0.36668912,168.0,year,C5,0.6410749669678811
0.83228153,-0.061614644,32.0,festival,C6,0.560556962595111
4.0922103,-0.30953568,222.0,great,C5,0.6524362939913607
0.9657178,-0.03619095,36.0,stuff,C6,0.6288885411013219
3.2821126,-0.74373174,185.0,marissa,C5,0.5839507122527826
3.4865944,-0.71453625,211.0,mayer,C5,0.607422477240182
3.294121,0.09623543,167.0,tech,C5,0.5526288452793097
1.4868015,-0.10369754,38.0,book,C6,0.6326807039997306
1.7683752,-0.1994597,73.0,conference,C4,0.5887089147582228
0.547015,-0.033140186,12.0,matt,C2,0.6776245697007107
4.084291,-0.06275168,226.0,apps,C5,0.6447547779345582
1.0250382,-0.04847326,22.0,communication,C6,0.6228638627026927
0.9112232,-0.055109147,20.0,showcased,C6,0.5720736878141445
0.9107816,-0.08614178,29.0,http,C6,0.6003292503345219
1.3765107,-0.07794311,37.0,edchat,C6,0.6657106040824252
1.133316,-0.07123189,33.0,starting,C6,0.6600368841313509
3.1650639,-0.21734275,131.0,around,C5,0.5235696048498345
0.3798915,-0.023447704,14.0,corner,C2,0.7027557529107964
3.875,-0.04266789,177.0,good,C5,0.6358529269631169
4.422304,-0.23899443,306.0,time,C5,0.6357893511094931
4.860034,-0.36594573,598.0,android,C5,0.577045284144373
1.6498094,-0.17254552,63.0,smart,C4,0.5161713900087173
0.21503419,-0.020249285,10.0,simple,C2,0.7013251764795617
1.5687754,-0.060778704,49.0,idea,C6,0.591786438050751
0.2896925,-0.024697563,12.0,wrote,C2,0.704287434530364
0.704123,-0.07257653,32.0,hollergram,C2,0.5503943125962629
1.5893188,-0.13455383,51.0,day,C6,0.5608083294549665
0.75758237,0.0023251243,20.0,plus,C2,0.5673904312211626
1.1794078,-0.06981985,30.0,mean,C6,0.6601670025350502
0.3835099,-0.052735876,22.0,stock,C2,0.6919294617876149
0.8827562,0.11216601,44.0,excited,C6,0.5467531082373002
1.9448355,-0.07818192,64.0,meet,C4,0.6291409150143155
4.1876173,-0.27397892,140.0,show,C5,0.6341875899445193
