word,count
sxsw,9636
link,4305
ipad,3004
google,2653
apple,2342
quot,1696
iphone,1592
store,1528
austin,973
circle,685
launch,683
social,663
android,598
today,577
network,468
line,450
party,401
free,388
called,354
mobile,350
sxswi,341
like,308
time,306
major,297
check,266
temporary,265
opening,256
open,255
need,238
possibly,237
people,231
come,229
apps,226
downtown,224
great,222
map,221
going,220
just,213
mayer,211
popup,211
know,200
marissa,185
good,177
want,177
make,177
think,175
news,171
year,168
first,168
tech,167
product,167
panel,159
game,158
user,156
search,155
look,152
next,151
cool,151
music,150
location,147
best,146
love,146
shop,145
talk,144
design,143
thanks,141
show,140
tweet,138
video,136
awesome,135
around,131
rumor,131
thing,128
what,127
phone,127
would,126
last,125
session,125
case,122
right,121
anyone,118
this,118
japan,116
using,115
bing,115
say,114
download,113
really,111
event,110
photo,109
take,108
launching,108
even,108
still,107
coming,104
team,104
week,104
congress,103
booth,103
future,102
