word,x_values,y_values,count
iphone,6.1859283,-0.71517575,1592
after,0.7004804,0.01687923,21
tweeting,1.4069862,0.02491141,28
rise,0.53716445,0.0665903,11
austin,5.404638,-2.7799194,973
dead,1.1408117,-0.03463321,18
need,4.858425,0.2183946,238
upgrade,0.66793156,-0.017148105,13
station,0.7418478,0.029488398,12
sxsw,5.182929,-0.33454138,9636
know,3.7847843,-1.0710065,200
awesome,3.89236,-0.39410532,135
ipad,5.628544,-2.0864809,3004
likely,0.51415265,0.047746506,13
design,4.5907183,-0.37114143,143
also,3.8142216,-0.13511081,79
giving,2.7026274,-0.3614472,71
free,4.9515123,-1.0138224,388
wait,2.5358865,-0.5689416,77
they,3.6398365,-0.23741251,67
sale,1.5014151,-0.3142238,47
hope,2.29063,-0.30036607,55
year,4.818149,0.041119065,168
festival,1.276005,-0.20507284,32
great,5.1447496,-0.34807214,222
stuff,1.4171056,-0.106774814,36
marissa,4.0324755,2.0535283,185
mayer,4.754262,2.2865226,211
google,6.1251025,4.62246,2653
tech,3.8490999,-0.25987235,167
book,2.3535733,-0.15719688,40
conference,2.30808,-0.24623847,73
matt,1.0163462,-0.019360265,12
apps,4.8992324,0.23169653,226
communication,1.3835549,-0.034888066,22
showcased,1.2708516,-0.016759837,20
http,1.4092085,-0.019789437,29
edchat,1.8153324,0.104140155,37
starting,1.7565962,0.016365001,33
around,3.933733,-0.48286077,131
corner,0.8068897,-0.20019372,14
good,4.918339,0.2701558,177
time,5.313656,-0.4151061,306
android,5.6492634,-0.19212662,598
smart,2.5055218,-0.57804525,63
simple,0.55213475,-0.038515072,10
idea,2.1878545,0.0809919,49
wrote,0.6189256,0.0132482145,12
hollergram,1.0074785,-0.07981046,32
day,2.3278658,-0.40498576,51
plus,1.1629627,0.0033297797,20
mean,1.8812823,-0.028961463,30
stock,0.75090206,-0.2740174,22
apple,6.3214827,-4.05289,2342
excited,1.5343893,0.18999869,44
meet,2.7757807,-0.11342613,64
show,4.6244054,-0.26217347,140
galaxy,0.21142742,0.001761242,11
still,3.4646502,-0.99924594,107
running,0.9421762,-0.17533684,18
fail,1.5894825,0.087782286,38
find,3.0702727,0.0012539556,89
start,2.5444393,-0.12457006,49
party,5.292105,0.47743788,401
with,2.8649209,0.35065883,62
come,4.449355,-0.99572945,229
foursquare,2.6503844,0.04828383,52
game,4.965853,0.34812307,158
best,4.810502,-0.45663753,146
looking,3.0192158,0.058043767,80
gotta,0.59756565,-0.039784297,18
love,3.6768284,-0.8364395,146
calendar,1.2091161,0.03069602,20
featuring,0.38578644,-0.045266014,10
case,4.130867,-0.39872035,122
check,4.527351,0.06924383,266
haha,0.6916407,0.034650408,23
holler,0.9698318,-0.14918554,22
gram,0.835447,-0.2141702,22
itunes,2.807681,-0.6180373,98
store,5.7310925,-4.0701084,1528
coming,3.078744,0.3369319,104
weekend,1.8300459,-0.3146125,44
many,3.1398036,-0.25705668,78
user,4.642068,0.3882246,156
hour,3.7464867,-0.66081125,89
late,1.3976325,-0.022387315,31
sunday,0.48369527,-0.04132965,11
morning,1.4621824,-0.18592627,43
just,5.0830727,-0.5728964,213
added,0.712766,-0.029126432,18
flight,1.5658327,-0.14833994,25
people,5.0020614,-0.66255593,231
plane,1.020525,-0.08720362,18
airport,1.1128002,-0.031494826,21
downloaded,0.5023069,-0.028158192,11
done,1.0125605,-0.038992688,21
must,2.2470157,-0.15591492,50
review,1.6926295,0.07847396,28
sure,2.5322728,-0.18150666,64
event,3.777,0.20837425,110
website,1.8556795,0.34223336,42
really,3.8358605,0.13872948,111
photo,2.742437,-0.10682087,109
nice,2.976099,-0.3332228,82
enjoying,0.9400107,-0.1443384,18
change,1.3717033,-0.03767732,21
gowalla,1.6003852,-0.16850553,41
forward,1.3090647,0.021360107,32
seeing,1.2817,-0.04347291,28
else,2.0949802,0.5772295,59
hoping,0.42011487,-0.09283983,11
someone,2.8425188,-0.3348112,67
started,1.1577004,-0.06394147,25
group,2.5450072,0.081194796,51
look,3.6708517,-0.32448977,152
like,5.619352,-0.3629896,308
going,4.220844,-0.30095094,220
rock,2.294239,0.02907189,46
update,2.8858461,0.18725264,92
push,0.6952542,0.02961743,14
tonight,3.1697187,0.19701257,89
right,4.502643,-0.15066674,121
team,3.427048,-0.15118666,104
very,1.973485,-0.21411116,46
leave,0.68313086,-0.18082339,15
home,1.9449204,-0.16909172,36
register,1.2084363,0.06934627,26
link,4.849925,0.41402674,4305
anyone,2.9702718,-0.8353843,118
want,4.483144,-0.45478278,177
sell,2.4415011,-1.0452847,67
bought,1.1523979,-0.4836824,36
launch,4.5564632,2.3749013,683
major,6.0245743,4.171563,297
social,6.484338,4.988049,663
network,6.52051,5.0427027,468
called,6.581707,4.5770397,354
circle,6.3153653,4.9353404,685
possibly,5.203817,3.9169772,237
today,5.115217,3.1537116,577
first,3.8428423,-0.6137467,168
line,4.7309084,-2.8114111,450
quot,5.064021,1.9110909,1696
spin,0.27305767,-0.025429662,10
play,1.8685069,0.1139456,38
concept,0.5373973,0.07039784,14
music,4.3624516,-0.5648597,150
discovery,1.7446618,0.25914294,31
false,-0.081115894,0.25980404,10
alarm,0.59107953,0.32061088,17
probably,1.3417604,0.32876557,36
ever,2.5945382,-0.28515777,78
force,0.35101625,-0.10091255,10
print,0.9571113,-0.016309835,13
medium,2.6068308,1.0123572,64
night,3.4738934,-0.4629288,70
putting,0.13375774,-0.09394857,13
flash,0.88151026,-0.12292247,19
downtown,3.8919942,-2.6315417,224
hootsuite,1.5103742,0.27862272,46
mobile,4.8509808,1.1398852,350
blackberry,2.4847581,-0.16118215,98
getting,2.7323093,-0.094922885,81
friend,3.7886493,-0.16702186,90
long,2.4048078,-1.0183938,75
think,4.333058,0.30313152,175
take,3.2588603,-0.070017986,108
make,4.8923616,-0.24194899,177
answer,0.5347216,0.00093519,12
using,4.071381,-0.07101241,115
zazzlesxsw,0.48118195,-0.090991125,25
mashable,1.3519498,-0.38244092,49
over,0.4406024,-0.0508557,37
video,4.1877885,-0.04798805,136
gadget,1.4082009,-0.14978594,30
ubersocial,1.7572095,-1.2582711,69
includes,2.1514494,-1.4455273,69
uberguide,2.1886597,-1.2444662,69
sponsored,2.071637,-0.7532877,54
open,4.6673326,-3.2410781,255
access,2.2012007,0.25681004,36
waited,0.2627568,-0.0768671,11
hand,2.885014,-0.15029563,54
opening,4.116082,-3.2139797,256
midnight,0.060141284,-0.29348904,13
say,4.3928905,0.648564,114
publishing,1.1403657,0.07251337,15
platform,3.2563586,0.35832658,72
help,3.2881188,-0.2532162,64
this,3.6989374,0.017822817,118
account,0.79991126,-0.079094104,12
what,3.4132001,-0.058734283,127
musedchat,1.6788459,0.13422185,34
sxswi,4.595908,0.39537928,341
classical,1.0569106,0.15520978,31
newtwitter,0.70166886,0.110969335,33
location,4.0892673,0.81704503,147
based,3.034126,0.28911087,59
fast,3.1741476,0.31308684,74
future,2.8510299,0.5658943,102
will,2.4300325,1.2055548,83
connect,1.4855732,0.8056054,45
digital,3.7874613,0.7667425,89
physical,2.1472735,0.46033043,47
world,3.504762,0.27907428,92
through,0.5824997,0.21855214,30
talking,1.8533336,0.1744587,39
system,1.6436284,0.011174241,19
tweet,4.608675,0.44051552,138
speak,1.6707681,0.35480475,41
mark,0.6668815,0.19485526,23
belinsky,0.5164154,0.2546615,26
panel,4.696232,0.3055144,159
stop,2.4864764,-0.118536994,56
chance,1.5813531,-0.11732805,37
kawasaki,1.4314107,-0.08216015,22
talk,4.7479424,0.14132546,144
internet,1.1465845,-0.104527496,31
search,4.5377936,1.2929991,155
heard,2.2571597,-1.0106102,95
pic,1.5893908,-0.37344128,33
already,2.9720652,-0.636095,74
would,4.3270845,-0.39578053,126
interesting,2.2190232,0.8900378,72
actually,0.8529004,-0.12929627,27
agree,0.8090141,-0.034703624,16
town,1.3625532,-0.19340596,29
album,0.45315465,-0.03367876,15
wanna,0.7496309,-0.11664154,26
drink,1.836351,-0.121623926,44
join,3.0366786,0.26076242,66
attending,0.8685789,-0.17120028,31
headache,0.82700276,-0.11255106,33
flipboard,2.6102545,0.067820184,60
developing,0.20370853,0.06008091,11
version,1.5948248,0.06953439,41
power,2.3992598,0.025288278,43
value,1.3529345,-0.011555398,20
service,2.6071777,0.8522029,67
pnid,0.580742,0.0010172937,18
stand,0.75468683,-0.0533261,15
blogger,1.3700342,0.068276785,23
shirt,1.0924181,-0.033124037,20
band,1.9123936,0.027958516,44
food,2.025469,-0.004568564,41
cream,0.5557625,0.0914711,14
interactive,2.495532,0.23107794,71
map,4.463966,1.802102,221
groupon,0.83241445,0.5860194,22
reward,1.3943577,0.5247575,41
type,1.2493213,0.5181983,29
news,3.8398173,0.8323524,171
traffic,2.0912848,-0.039159186,42
site,2.5623534,0.3270346,49
doubt,0.1871127,0.106726564,11
last,4.242194,-0.26817855,125
weird,0.7335949,-0.054495126,14
name,1.0621797,0.05390846,18
phone,4.255665,-0.09772616,127
droid,0.67630744,-0.066929534,22
laptop,3.6371305,-0.15855281,68
follow,2.4159334,-0.1882074,48
launching,2.4878438,2.3671007,108
denies,-0.16729064,0.362558,11
debut,0.11711228,0.13595395,11
report,1.2731766,0.04163256,38
post,2.594264,0.053827155,65
easy,1.1171943,0.026845284,18
yesterday,0.9955001,-0.04298179,27
popup,4.021139,-3.3320844,211
fan,0.42757985,-0.10163526,15
space,1.8021113,0.026470225,28
tomorrow,2.335045,-0.6791918,72
thing,4.1684084,-0.27175876,128
earth,1.3028536,-0.0030127785,18
face,0.24562526,0.06592417,13
company,3.4254112,0.020483365,64
stay,0.9933256,0.038785018,25
showcase,0.23799717,-0.03677712,11
ckers,0.93872094,0.2307251,23
thank,1.4349042,-0.18099792,33
touchingstories,1.3414526,-0.058749773,31
here,1.6498979,0.04913365,53
thanks,3.9279268,-0.13250658,141
trying,2.0742202,-0.0811218,43
contact,1.14705,-0.03592997,18
japan,4.838406,-0.048724957,116
created,0.5586972,-0.00492203,12
person,2.0874326,-0.24394937,51
finder,0.3817452,-0.0022504537,11
mention,0.69852597,-0.15928717,14
speech,1.1218026,-0.069048256,23
conf,0.5259778,-0.09020122,14
sxswh,0.60298324,0.03287559,18
blog,1.9829104,-0.020898387,44
charger,2.3631866,-0.2752153,58
changed,0.36409444,0.016809387,11
mind,1.4277917,0.0015819295,20
next,4.4484897,-0.068302475,151
wonder,1.7918705,-0.077900596,47
tip,0.4595797,0.0009964922,13
shiny,0.21787144,0.00048128256,12
nerd,1.65998,-0.10480446,47
cont,1.067198,-0.27145118,41
another,1.3095381,0.39686367,52
local,1.4821057,0.17194365,34
industry,1.4195001,0.03659984,39
gsdm,2.7338421,0.22770488,68
buzz,1.3858194,0.44910336,38
have,1.8929012,-0.07253616,39
could,3.1885371,0.20674789,83
seen,2.3840868,-0.1591219,55
opened,0.5146365,-0.5047639,24
ipads,3.1603627,-1.204054,89
launched,1.211399,0.49523777,39
checkins,1.1106571,0.086533695,31
month,1.8165821,0.052251797,31
bizzy,-0.14953658,0.020900935,14
left,2.1305025,-0.13627781,55
brain,1.1920735,0.42186657,42
bettersearch,0.17673336,0.10518911,15
engine,1.471906,0.23964038,22
content,3.182453,-0.032374244,52
existence,0.8303128,-0.002891258,14
saved,0.8034956,-0.06274171,18
enchantment,1.1389525,-0.011517753,26
award,1.1347979,-0.011248429,30
read,1.3753465,0.07960247,33
thought,1.8004452,-0.008554009,40
earthquake,1.7475846,0.047628246,29
tsunami,0.66759396,-0.026511276,13
school,1.567107,-0.3319398,45
marketing,2.402535,-0.33509937,68
expert,1.1162882,-0.15902044,37
cnet,0.67333037,0.15232457,25
temporary,4.5787888,-2.9783075,265
congress,2.727902,-1.8294365,103
happy,2.2336907,-0.08789318,46
hipster,1.9085582,-0.11854193,34
win,2.3520195,-0.71379393,84
support,0.77220905,-0.1005986,15
that,2.4785094,-0.1862564,56
headed,0.3226581,-0.0800216,15
enjoy,0.8116931,-0.1305246,22
funny,1.1913277,-0.05261363,26
only,1.0730394,-0.12896311,27
matter,0.6977418,0.08836888,13
minute,1.6468554,-0.2731265,34
point,1.7071334,0.073850475,27
least,0.90018564,-0.019112103,22
twitter,4.0125227,0.3791093,100
devs,0.591656,-0.08044573,13
maybe,1.2035002,0.22042438,34
together,0.8794127,0.000891867,18
cool,3.8844821,-0.8371653,151
uxdes,1.1203747,-0.039649133,40
remember,0.53428966,-0.035108205,11
audience,1.4582657,0.057820342,24
experience,2.906468,-0.010082038,41
part,1.4605072,0.05250495,20
waiting,1.7115909,-0.64821047,53
mine,0.6510124,-0.030175626,13
download,3.0001338,-0.51500285,113
doe,0.801529,-0.013874214,27
place,3.4000404,0.12334022,72
seo,0.96612793,0.14386624,17
samsung,0.8139383,-0.076521136,22
atx,0.44638863,-0.18076313,18
south,1.3039155,0.07817176,32
get,2.4458222,-0.3570143,62
movie,0.39234495,-0.061049663,12
amazing,2.2280784,-0.05307697,43
focus,1.0195048,-0.016607892,15
chat,0.6685953,0.08582187,18
share,2.0779965,-0.015800942,45
info,2.6056643,-0.092260264,49
turn,1.8596127,-0.22056223,35
business,2.7089615,0.033951536,49
card,2.7362645,-0.14487962,46
sold,1.8385577,-0.5221181,48
model,1.0659391,-0.07639244,19
beta,1.4303324,-0.031670574,25
testing,0.5901852,0.01574958,14
away,3.3169916,-0.24370107,81
wifi,1.7488954,-0.21454458,39
black,0.71463704,-0.0590889,16
cover,0.57270527,-0.07519872,11
house,1.7313046,0.043548115,29
wondering,0.74658686,-0.06480271,20
worth,1.1326133,-0.0056385486,18
convention,1.6367152,-0.10923226,48
center,1.3342769,0.057524167,44
everything,1.6665381,-0.057298712,33
except,1.0116487,-0.14483374,21
white,2.9088173,-0.39361745,61
promo,0.6620544,-0.050327223,11
suck,0.6286222,0.060652822,17
film,1.4460288,-0.11896143,22
selling,0.9657053,-0.51602703,32
poursite,0.422507,0.036875978,12
learning,0.6597565,0.018409703,17
life,2.599725,-0.0042298455,48
impact,0.63175964,0.031379938,12
real,1.741545,0.17719343,34
guide,1.3614848,-0.517954,51
limited,0.24644525,-0.24965303,13
travel,0.52253646,-0.14069231,23
more,1.6635935,0.021697668,33
heading,1.522462,-0.28649205,52
aclu,0.85247314,0.50984234,35
walk,0.5670114,-0.09581298,14
tool,2.3710694,0.20817114,35
tradeshow,0.56978214,0.0014633628,13
demo,2.192008,0.111002944,58
realtime,0.33977884,0.14134337,12
listening,1.6862668,0.11090733,34
pick,1.1893939,-0.101454094,22
grab,1.2625932,-0.09964422,29
quick,0.7464734,-0.1006281,12
barry,1.0337158,-0.062151734,24
diller,1.3098828,0.0018833277,36
lunch,0.72769266,-0.20035873,14
hotel,0.9878775,-0.12560439,16
seriously,0.3739386,0.04634417,11
lost,1.8251377,-0.14332134,37
schedule,1.4333732,0.018793745,33
ready,2.5949693,0.10063345,69
rumored,-0.059667524,0.2919066,20
went,1.4671572,-0.045185383,23
folk,1.7170331,-0.102928475,37
learn,1.3779168,-0.07300433,22
security,1.087208,-0.17044155,28
work,3.405039,-0.07858404,83
development,0.7780428,0.061667297,20
developer,2.62218,-0.020051144,63
winning,2.1395135,-0.18026447,61
picture,1.0907756,-0.26889184,27
spent,0.89888126,-0.006445579,17
used,2.4111626,-0.009674065,42
couple,0.3014928,0.005266298,11
city,1.8862244,-0.18240647,27
block,2.303823,-1.000988,69
behind,1.9125748,-0.029899096,29
email,0.957585,0.020249452,15
give,3.066646,-0.16557851,68
song,1.9714514,-0.08107081,32
million,1.6268021,0.30523014,43
available,2.1338356,-0.090164945,66
please,2.45826,-0.054404177,76
le,0.8454948,-0.066821784,21
announce,0.3712347,0.14924689,11
detail,2.4214482,-0.18658192,70
giveaway,1.7448798,-0.080758005,38
wild,0.6361366,-0.01986202,12
queue,0.92741054,-0.374591,30
course,0.5211395,-0.03438717,22
keynote,1.3120444,0.104634374,27
credit,0.779159,-0.038909253,19
click,0.46340385,0.019377561,11
purchase,0.67927,-0.14744313,16
having,0.52744675,0.067763545,17
texas,1.9174063,-0.15997714,45
southwest,0.23778048,0.12918748,19
sweet,1.3355837,-0.1443978,28
ballroom,1.0929216,0.043596927,33
mile,0.8957935,0.10261361,19
driving,0.37548855,0.031793907,11
navigation,1.9374081,0.10755032,51
longer,0.4484364,-0.16318828,14
extra,0.87544453,-0.114539035,14
cross,0.91592443,-0.036590848,13
facebook,3.7880356,1.2901081,98
step,1.1578355,-0.073480465,21
strategy,1.8297404,0.34127578,31
street,3.110981,-0.25594574,61
girl,1.6182758,-0.11585103,22
juice,1.722901,-0.18137917,26
track,2.1280873,-0.3374654,50
busy,0.82659715,-0.13307449,19
week,3.6089497,-0.2624317,104
believe,0.6547639,-0.13391626,19
plan,1.4022263,0.053232744,35
there,2.947797,-0.30841097,77
sixth,0.089784,-0.26707563,14
told,0.5906415,-0.08263479,11
ride,0.8785485,-0.084268965,22
tablet,2.6488314,-0.14145112,61
every,2.9700048,-0.16352862,67
single,0.3085916,-0.06753564,11
response,0.8212838,-0.038768798,12
picked,0.5848904,-0.06744571,21
mophie,0.735623,-0.11110051,17
battery,3.0480943,-0.2975964,64
huge,1.6197883,-0.12056696,34
took,1.2519578,-0.23150274,23
trade,1.7829442,-0.121757776,32
rumor,2.8521214,-0.43691382,131
preview,1.0540257,1.0198835,41
biggest,0.61156756,-0.015811654,15
