x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C2,0.6768035470223066
0.37634316,0.003478353,11.0,rise,C2,0.7131750633855054
0.73111004,-0.033749204,18.0,dead,C2,0.6953555648123935
3.9828346,0.020948611,238.0,need,C5,0.6515841478884528
0.37662598,-0.0074088247,13.0,upgrade,C2,0.7144729967521027
0.4271167,-0.040221818,12.0,station,C2,0.7138953405626258
3.193548,-0.30603263,200.0,know,C5,0.6402821861304772
3.1021552,-0.18599184,135.0,awesome,C5,0.5919823686830291
0.26043293,0.013959806,13.0,likely,C2,0.7106233516292184
4.019419,-0.15933505,143.0,design,C5,0.6590200762510288
2.7026744,-0.10404712,79.0,also,C1,0.616032185640064
2.097018,-0.11153362,71.0,giving,C1,0.6709096476627645
4.5649724,-0.3645213,388.0,free,C5,0.6278229090943709
1.9270232,-0.10096901,77.0,wait,C1,0.6690548369905134
1.1210569,-0.08354992,47.0,sale,C1,0.47607611274796463
1.6456244,-0.028374815,55.0,hope,C1,0.6479629751103845
3.8084848,-0.36668912,168.0,year,C5,0.6630185030912927
0.83228153,-0.061614644,32.0,festival,C2,0.6681854903736588
4.0922103,-0.30953568,222.0,great,C5,0.6668990548155616
0.9657178,-0.03619095,36.0,stuff,C2,0.6293939880855954
3.2821126,-0.74373174,185.0,marissa,C5,0.6106727049750115
3.4865944,-0.71453625,211.0,mayer,C5,0.6285003977765602
3.294121,0.09623543,167.0,tech,C5,0.6017889894681063
1.4868015,-0.10369754,38.0,book,C1,0.6159303391832607
1.7683752,-0.1994597,73.0,conference,C1,0.6571979664822465
0.547015,-0.033140186,12.0,matt,C2,0.710466493958834
4.084291,-0.06275168,226.0,apps,C5,0.660703940495588
1.0250382,-0.04847326,22.0,communication,C2,0.6260858883523106
0.9112232,-0.055109147,20.0,showcased,C2,0.6604313658621063
0.9107816,-0.08614178,29.0,http,C2,0.6487054446772782
1.3765107,-0.07794311,37.0,edchat,C1,0.5838393680664207
1.133316,-0.07123189,33.0,starting,C2,0.5550785498833728
3.1650639,-0.21734275,131.0,around,C5,0.6002591094423928
0.3798915,-0.023447704,14.0,corner,C2,0.7150940520414079
3.875,-0.04266789,177.0,good,C5,0.6588135843795999
4.422304,-0.23899443,306.0,time,C5,0.6480108280856235
4.860034,-0.36594573,598.0,android,C5,0.5862016723368655
